"Sol";"Site";"pH";"Eau";"Av.P";"C";"N";"NO3";"NH4";"Exc.Ac";"Exc.Al";"Exc.Ca";"Exc.Mg";"Exc.K";"Exc.Na";"Exc.Cations";"SatBase";"Argile";"Limon";"Sable"
"Dunaire";"508-63_R";4.21;1.29;10.22;1.42;0.07;0.39;3.17;1.87;0.81;0.19;0.43;0.1;0.04;2.65;29.23;10;11;79
"Dunaire";"508-63_U";3.82;2.37;7.43;1.75;0.09;0.07;2.66;1.9;0.92;0.18;1;0.24;0.16;3.48;45.58;12;8;79
"Dunaire";"508-64_A";4;3.34;6.84;2;0.11;0.37;2.91;4.5;3.21;0.18;0.8;0.14;0.09;5.71;21.19;18;9;73
"Dunaire";"508-64_D";4.68;1.46;4.39;1.13;0.08;0.37;1.86;2.06;1.42;0.14;0.46;0.14;0.12;2.92;29.52;11;11;78
"Dunaire";"508-64_N";4.15;2.2;6.34;1.55;0.1;0;2.58;2.63;1.58;0.19;0.55;0.11;0.05;3.53;25.38;17;4;78
"Dunaire";"508-64_O";4.32;1;5.1;1.02;0.06;0.32;1.88;1.64;0.81;0.15;0.21;0.07;0.03;2.09;21.54;10;11;79
"Dunaire";"508-64_R";4.17;1.84;9.3;1.32;0.07;0.43;1.71;2.75;1.88;0.12;0.21;0.08;0.03;3.19;13.79;12;13;75
"Dunaire";"508-64_S";4.13;2.67;7.1;1.83;0.11;0.1;2.92;3.96;2.67;0.14;0.26;0.11;0.03;4.49;11.8;19;7;75
"Dunaire";"508-64_U";4.25;3.08;6.01;1.41;0.08;0.81;1.75;4.08;3.1;0.12;0.26;0.11;0.03;4.59;11.3;15;15;70
"Dunaire";"508-64_X";4.07;2.56;8.91;1.71;0.09;0;2.97;4.23;2.77;0.16;0.43;0.13;0.09;5.04;15.96;17;10;72
